pl_name,sy_snum,pl_orbsmax,pl_rade,st_rad,sy_dist
HATS-39 b,1,0.06007,17.598,1.62,878.521
HATS-4 b,1,0.0362,11.433,0.93,416.459
HATS-40 b,1,0.04997,17.71,2.26,1342.29
HATS-41 b,1,0.0583,14.908,1.71,737.668
HATS-42 b,1,0.03689,15.693,1.48,800.377
HATS-43 b,1,0.04944,13.227,0.81,362.273
HATS-44 b,1,0.03649,11.96,0.85,446.035
HATS-45 b,1,0.05511,14.415,1.32,772.11
HATS-46 b,1,0.05367,10.122,0.85,453.808
HATS-47 b,1,0.04269,12.52,0.66,300.67
HATS-48 A b,2,0.03769,8.967,0.72,263.609
HATS-49 b,1,0.04515,8.575,0.7,324.413
HATS-5 b,1,0.0542,10.223,0.87,246.384
HATS-50 b,1,0.05046,12.666,1.12,756.742
HATS-51 b,1,0.04639,15.805,1.44,389.57
HATS-52 b,1,0.02498,15.491,1.05,555.134
HATS-53 b,1,0.04753,15.02,1.1,585.77
HATS-54 b,1,0.037,11.377,1.23,748.585
HATS-55 b,1,0.05412,14.022,1.13,609.838
HATS-56 b,1,0.06043,18.921,2.2,564.409
HATS-57 b,1,0.03493,12.767,0.96,279.485
HATS-58 A b,2,0.05798,12.274,1.43,403.591
HATS-59 b,1,0.06112,12.621,1.04,642.884
HATS-59 c,1,2.504,12.3,1.04,642.884
HATS-6 b,1,0.03623,11.187,0.57,169.318
HATS-60 b,1,0.04708,12.924,1.46,486.474
HATS-61 b,1,0.07908,13.395,1.66,679.761
HATS-62 b,1,0.04163,11.825,0.93,523.067
HATS-63 b,1,0.04026,13.529,1.07,623.232
HATS-64 b,1,0.06562,18.82,2.11,1080.15
HATS-65 b,2,0.04497,16.825,1.31,493.32
HATS-66 b,1,0.04714,15.816,1.84,1477.98
HATS-67 b,1,0.03032,18.887,1.44,960.109
HATS-68 b,1,0.05071,13.809,1.75,603.955
HATS-69 b,1,0.03211,10.593,0.88,414.537
HATS-7 b,1,0.04012,6.311,0.82,240.707
HATS-70 b,1,0.03632,15.513,1.88,1458.83
HATS-71 b,1,0.03745,11.478,0.48,140.225
HATS-72 b,1,0.066517,8.097,0.72,127.589
HATS-74 A b,2,0.02384,11.568,0.58,299.389
HATS-75 b,1,0.032742,9.909,0.58,194.964
HATS-76 b,1,0.02658,12.094,0.63,385.689
HATS-77 b,1,0.03607,13.058,0.64,436.176
HATS-8 b,1,0.04667,9.785,1.09,794.637
HATS-9 b,1,0.0312,13.85,1.56,638.7
HD 100546 b,1,53,77.342,1.85,109.677
HD 100655 b,2,0.68,13.5,10.06,137.178
HD 100777 b,1,1.06,13.7,1.04,49.5336
HD 10180 c,1,0.06412,3.68,1.11,38.9607
HD 10180 d,1,0.12859,3.45,1.11,38.9607
HD 10180 e,1,0.2699,5.39,1.11,38.9607
HD 10180 f,1,0.4929,5.24,1.11,38.9607
HD 10180 g,1,1.427,4.91,1.11,38.9607
HD 10180 h,1,3.381,9.4,1.11,38.9607
HD 101930 b,2,0.3,10.6,0.86,30.0274
HD 102117 b,1,0.15,8.47,1.23,39.5792
HD 102195 b,1,0.05,14.2,0.82,29.3386
HD 102272 b,1,0.51,12.9,10.3,347.097
HD 102329 b,1,1.81,12.6,9.82,217.107
HD 102329 c,1,0,13.5,6.3,217.107
HD 102365 b,2,0.46,4.14,0.95,9.2894
HD 102843 b,1,4.074,13.1,0.96,62.758
HD 102956 b,2,0.0807,13.8,4.55,121.89
